,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,W
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,T
62,T
63,T
64,T
65,T
66,T
67,W
68,W
69,W
70,W
71,W
72,T
73,T
74,T
75,T
76,T
77,T
78,T
79,T
80,W
81,T
82,T
83,T
84,T
85,T
86,T
87,T
88,W
89,W
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,T
127,T
128,T
129,T
130,T
131,T
132,T
133,T
134,T
135,T
136,T
137,W
138,W
139,W
140,W
141,W
142,W
143,W
144,W
145,W
146,W
147,W
148,W
149,W
150,W
151,W
