,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,T
11,T
12,T
13,T
14,T
15,W
16,T
17,T
18,T
19,W
20,W
21,W
22,W
23,W
24,W
25,T
26,T
27,T
28,T
29,T
30,T
31,T
32,T
33,T
34,T
35,T
36,T
37,T
38,T
39,T
40,W
41,W
42,W
43,T
44,T
45,T
46,T
47,T
48,T
49,W
50,T
51,T
52,T
53,T
54,T
55,W
56,T
57,T
58,T
59,T
60,T
61,W
62,W
63,W
64,W
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,W
87,W
88,W
89,W
90,W
91,T
92,T
93,T
94,T
95,T
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,T
117,T
118,T
119,T
120,T
121,T
122,T
123,T
124,T
125,W
126,W
127,W
128,W
129,W
130,W
131,T
132,W
133,W
134,W
135,W
136,W
137,T
138,T
139,W
140,W
141,W
142,W
143,W
144,W
145,W
146,W
147,W
148,W
149,W
150,W
151,W
