,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,T
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,T
34,T
35,W
36,W
37,T
38,T
39,W
40,W
41,W
42,W
43,T
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,T
62,T
63,T
64,W
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,T
75,T
76,W
77,W
78,W
79,T
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,T
95,T
96,T
97,T
98,T
99,W
100,T
101,T
102,W
103,W
104,W
105,W
106,W
107,T
108,T
109,T
110,W
111,W
112,W
113,W
114,W
115,W
116,T
117,T
118,T
119,W
120,T
121,W
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,W
133,W
134,W
135,W
136,T
137,T
138,W
