,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.07,-0.81,-1.92,3.56,-30.50,15.81,4.94,10.56,0.44,0.30,-0.46,-0.40,0.73,1166730
1,-0.14,-1.01,-1.46,3.56,-30.50,15.81,4.94,10.56,0.44,0.30,-0.46,-0.40,0.73,1166771
2,-0.14,-1.01,-1.46,3.56,-30.50,15.81,4.25,7.38,2.05,0.30,-0.46,-0.40,0.73,1166814
3,-0.36,-0.28,-0.38,3.56,-30.50,15.81,4.25,7.38,2.05,0.30,-0.46,-0.40,0.73,1166854
4,-0.36,-0.28,-0.38,3.56,-30.50,15.81,4.29,6.58,1.29,0.30,-0.46,-0.40,0.73,1166895
5,-0.36,-0.28,-0.38,3.56,-30.50,15.81,4.10,6.92,1.59,0.30,-0.46,-0.40,0.73,1166935
6,0.47,0.37,1.02,3.56,-30.50,15.81,4.10,6.92,1.59,0.30,-0.46,-0.40,0.73,1166976
7,0.73,0.37,1.03,3.56,-30.50,15.81,4.10,6.92,1.59,0.30,-0.46,-0.40,0.73,1167015
8,0.73,0.37,1.03,3.56,-30.50,15.81,1.00,9.22,2.09,0.30,-0.46,-0.40,0.73,1167055
9,0.73,0.37,1.03,3.56,-30.50,15.81,1.65,8.95,3.81,0.30,-0.46,-0.40,0.73,1167096
10,0.73,0.37,1.03,3.56,-30.50,15.81,6.02,8.30,2.28,0.30,-0.46,-0.40,0.73,1167134
11,0.29,1.66,1.41,3.56,-30.50,15.81,6.02,8.30,2.28,0.30,-0.46,-0.40,0.73,1167174
12,0.29,1.66,1.41,3.56,-30.50,15.81,7.09,10.18,1.90,0.30,-0.46,-0.40,0.73,1167213
13,0.29,1.66,1.41,3.56,-30.50,15.81,7.89,10.71,0.98,0.30,-0.46,-0.40,0.73,1167253
14,0.29,1.66,1.41,3.56,-30.50,15.81,4.86,12.82,0.94,0.30,-0.46,-0.40,0.73,1167294
15,0.29,1.66,1.41,3.56,-30.50,15.81,6.86,12.29,2.13,0.30,-0.46,-0.40,0.73,1167332
16,-0.94,0.80,3.39,3.56,-30.50,15.81,6.86,12.29,2.13,0.30,-0.46,-0.40,0.73,1167371
17,-0.94,0.80,3.39,3.56,-30.50,15.81,7.59,13.20,0.14,0.30,-0.46,-0.40,0.73,1167412
18,-0.94,0.80,3.39,3.56,-30.50,15.81,5.90,11.79,3.16,0.30,-0.46,-0.40,0.73,1167452
19,-0.94,0.80,3.39,3.56,-30.50,15.81,4.90,10.75,2.28,0.30,-0.46,-0.40,0.73,1167492
20,-0.94,0.80,3.39,7.25,-29.25,14.56,4.90,10.75,2.28,0.30,-0.46,-0.40,0.73,1167532
21,0.00,0.83,2.08,7.25,-29.25,14.56,4.90,10.75,2.28,0.30,-0.46,-0.40,0.73,1167571
22,0.18,0.61,1.05,7.25,-29.25,14.56,4.90,10.75,2.28,0.30,-0.46,-0.40,0.73,1167611
23,0.18,0.61,1.05,7.25,-29.25,14.56,2.03,6.84,2.01,0.30,-0.46,-0.40,0.73,1167652
24,0.18,0.61,1.05,7.25,-29.25,14.56,2.64,6.46,2.39,0.30,-0.46,-0.40,0.73,1167691
25,0.18,0.61,1.05,-0.13,-31.25,15.94,2.64,6.46,2.39,0.30,-0.46,-0.40,0.73,1167729
26,0.23,-0.50,-1.16,-0.13,-31.25,15.94,2.64,6.46,2.39,0.30,-0.46,-0.40,0.73,1167769
