,0
0,T
1,T
2,T
3,T
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,T
17,T
18,T
19,W
20,W
21,W
22,W
23,W
24,W
25,T
26,W
27,W
28,W
29,T
30,T
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,T
40,T
41,T
42,T
43,T
44,T
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,W
59,W
60,T
61,T
62,T
63,T
64,T
65,T
66,T
67,T
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,T
80,W
81,W
82,W
83,T
84,T
85,T
86,W
87,W
88,W
89,W
90,W
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,W
99,W
100,T
101,T
102,T
103,T
104,T
105,T
106,T
107,T
108,T
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,T
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,T
128,T
129,T
130,W
131,W
132,W
133,W
134,W
135,W
136,W
137,T
138,T
139,T
140,T
141,T
142,T
143,W
144,W
145,W
146,W
