,0
0,W
1,T
2,T
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,W
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,T
66,T
67,T
68,T
69,T
70,T
71,T
72,T
73,T
74,W
75,W
76,W
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,T
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,W
133,W
134,T
135,W
