,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-0.00,0.01,-0.02,8.44,-6.56,-2.00,-8.58,4.54,1.45,0.12,0.65,0.14,0.74,13272
1,-0.00,0.01,-0.02,8.44,-6.56,-2.00,-8.54,4.58,1.41,0.12,0.65,0.14,0.74,13312
2,-0.03,0.02,-0.04,8.44,-6.56,-2.00,-8.54,4.58,1.41,0.12,0.65,0.14,0.74,13349
3,-0.03,0.02,-0.04,8.44,-6.56,-2.00,-8.46,4.51,1.38,0.12,0.65,0.14,0.74,13387
4,-0.03,0.02,-0.04,8.00,-8.50,-3.56,-8.46,4.51,1.38,0.12,0.65,0.14,0.74,13424
5,-0.03,0.02,-0.04,8.00,-8.50,-3.56,-8.50,4.54,1.53,0.12,0.65,0.14,0.74,13463
6,-0.03,0.02,-0.04,8.00,-8.50,-3.56,-8.46,4.51,1.30,0.12,0.65,0.14,0.74,13504
7,-0.03,0.02,-0.04,8.00,-8.50,-3.56,-8.58,4.43,1.49,0.12,0.65,0.14,0.74,13543
8,-0.03,0.02,-0.04,8.00,-8.50,-3.56,-8.46,4.47,1.34,0.12,0.65,0.14,0.74,13580
9,0.04,-0.03,0.01,8.00,-8.50,-3.56,-8.46,4.47,1.34,0.12,0.65,0.14,0.74,13618
10,0.04,-0.03,0.01,8.00,-8.50,-3.56,-8.50,4.39,1.72,0.12,0.65,0.14,0.74,13658
11,0.04,-0.03,0.01,8.00,-8.50,-3.56,-8.70,4.20,1.76,0.12,0.65,0.14,0.74,13696
12,0.04,-0.03,0.01,8.00,-8.50,-3.56,-8.77,4.31,1.53,0.12,0.65,0.14,0.74,13732
13,-0.01,0.00,-0.28,8.00,-8.50,-3.56,-8.77,4.31,1.53,0.12,0.65,0.14,0.74,13770
14,-0.01,0.00,-0.28,8.00,-8.50,-3.56,-8.66,4.09,1.41,0.12,0.65,0.14,0.74,13809
15,-0.23,-0.00,-0.26,8.00,-8.50,-3.56,-8.66,4.09,1.41,0.12,0.65,0.14,0.74,13848
16,-0.23,-0.00,-0.26,8.00,-8.50,-3.56,-8.85,4.01,1.18,0.12,0.65,0.14,0.74,13885
17,0.06,0.04,-0.05,8.00,-8.50,-3.56,-8.85,4.01,1.18,0.12,0.65,0.14,0.74,13924
18,0.06,0.04,-0.05,8.00,-8.50,-3.56,-8.85,3.89,1.80,0.12,0.65,0.14,0.74,13963
19,0.06,0.04,-0.05,8.00,-8.50,-3.56,-8.85,3.82,1.07,0.12,0.65,0.14,0.74,14002
20,0.06,0.04,-0.05,8.00,-8.50,-3.56,-9.00,3.89,1.61,0.12,0.65,0.14,0.74,14041
21,0.06,0.04,-0.05,8.00,-8.50,-3.56,-8.85,3.82,1.45,0.12,0.65,0.14,0.74,14076
22,-0.04,0.04,-0.00,8.00,-8.50,-3.56,-8.85,3.82,1.45,0.12,0.65,0.14,0.74,14115
23,-0.04,0.04,-0.00,8.00,-8.50,-3.56,-8.93,3.89,1.49,0.12,0.65,0.14,0.74,14154
24,-0.04,0.04,-0.00,8.00,-8.50,-3.56,-8.89,3.97,1.38,0.12,0.65,0.14,0.74,14194
25,-0.04,0.04,-0.00,8.00,-8.50,-3.56,-9.46,3.93,1.38,0.12,0.65,0.14,0.74,14231
26,0.11,-0.08,0.02,8.00,-8.50,-3.56,-9.46,3.93,1.38,0.12,0.65,0.14,0.74,14269
27,0.11,-0.08,0.02,8.00,-8.50,-3.56,-9.04,3.32,1.64,0.12,0.65,0.14,0.74,14307
28,0.11,-0.08,0.02,8.00,-8.50,-3.56,-10.04,3.39,1.14,0.12,0.65,0.14,0.74,14347
29,0.11,-0.08,0.02,8.00,-8.50,-3.56,-14.10,3.20,-0.39,0.12,0.65,0.14,0.74,14384
30,1.65,-1.91,-1.30,8.00,-8.50,-3.56,-14.10,3.20,-0.39,0.12,0.65,0.14,0.74,14423
31,2.08,-0.82,0.04,8.00,-8.50,-3.56,-14.10,3.20,-0.39,0.12,0.65,0.14,0.74,14462
32,2.08,-0.82,0.04,8.00,-8.50,-3.56,-7.20,2.71,2.91,0.12,0.65,0.14,0.74,14502
33,2.08,-0.82,0.04,8.00,-8.50,-3.56,-7.13,2.21,-0.46,0.12,0.65,0.14,0.74,14541
34,2.08,-0.82,0.04,8.00,-8.50,-3.56,-7.85,2.36,0.76,0.12,0.65,0.14,0.74,14578
35,0.64,0.16,-0.62,8.00,-8.50,-3.56,-7.85,2.36,0.76,0.12,0.65,0.14,0.74,14616
36,0.64,0.16,-0.62,8.00,-8.50,-3.56,-8.04,2.93,1.41,0.12,0.65,0.14,0.74,14655
37,0.64,0.16,-0.62,8.00,-8.50,-3.56,-8.20,3.59,1.99,0.12,0.65,0.14,0.74,14694
38,0.64,0.16,-0.62,8.00,-8.50,-3.56,-8.27,4.73,0.50,0.12,0.65,0.14,0.74,14731
39,0.65,0.47,-0.96,8.00,-8.50,-3.56,-8.27,4.73,0.50,0.12,0.65,0.14,0.74,14769
40,0.65,0.47,-0.96,8.00,-8.50,-3.56,-8.58,6.50,3.06,0.12,0.65,0.14,0.74,14807
41,0.65,0.47,-0.96,8.00,-8.50,-3.56,-6.93,7.72,3.14,0.12,0.65,0.14,0.74,14846
42,0.65,0.47,-0.96,8.00,-8.50,-3.56,-8.58,4.89,1.95,0.12,0.65,0.14,0.74,14883
43,-1.87,-0.33,0.97,8.00,-8.50,-3.56,-8.58,4.89,1.95,0.12,0.65,0.14,0.74,14921
44,-0.01,-0.23,0.88,8.00,-8.50,-3.56,-8.58,4.89,1.95,0.12,0.65,0.14,0.74,14959
45,-0.01,-0.23,0.88,8.00,-8.50,-3.56,-11.00,2.97,1.53,0.12,0.65,0.14,0.74,14999
46,-0.01,-0.23,0.88,8.00,-8.50,-3.56,-9.58,3.39,1.64,0.12,0.65,0.14,0.74,15037
47,-0.01,-0.23,0.88,3.88,-12.94,-10.38,-9.58,3.39,1.64,0.12,0.65,0.14,0.74,15074
48,0.04,0.00,-0.03,3.88,-12.94,-10.38,-9.58,3.39,1.64,0.12,0.65,0.14,0.74,15114
49,0.04,0.00,-0.03,3.88,-12.94,-10.38,-8.89,3.28,1.14,0.12,0.65,0.14,0.74,15154
