,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,T
12,T
13,T
14,T
15,T
16,W
17,W
18,W
19,W
20,T
21,T
22,T
23,T
24,T
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,T
39,T
40,T
41,T
42,T
43,T
44,T
45,T
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,W
63,W
64,W
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,T
109,T
110,T
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,W
128,T
129,T
130,W
131,W
132,T
133,W
134,W
135,W
136,T
137,T
138,T
139,T
140,T
141,T
142,T
143,T
144,W
145,W
146,W
147,W
148,W
149,W
150,W
151,W
152,W
153,W
