,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,T
13,T
14,T
15,T
16,T
17,W
18,W
19,W
20,W
21,T
22,T
23,W
24,W
25,W
26,T
27,T
28,T
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,T
41,T
42,T
43,T
44,T
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,T
53,T
54,T
55,W
56,T
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,W
66,W
67,W
68,W
69,T
70,T
71,T
72,T
73,T
74,T
75,W
76,W
77,W
78,W
79,W
80,T
81,T
82,T
83,T
84,T
85,T
86,T
87,T
88,T
89,T
90,T
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,T
99,T
100,T
101,T
102,T
103,T
104,T
105,T
106,T
107,T
108,T
109,T
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,T
121,T
122,T
123,T
124,T
125,T
126,T
127,T
128,T
129,T
130,W
131,W
132,W
133,W
134,W
135,W
136,W
137,W
138,W
139,W
140,T
141,T
142,T
143,T
144,T
145,T
146,T
147,T
148,T
149,T
150,T
