,0
0,T
1,T
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,W
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,W
63,W
64,W
65,W
66,W
67,T
68,T
69,W
70,W
71,W
72,W
73,T
74,T
75,W
76,W
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,T
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,T
125,T
126,T
127,T
128,T
129,T
130,T
131,T
132,T
133,T
134,T
135,T
136,T
137,T
138,T
139,T
140,T
141,T
142,T
143,T
144,T
145,T
146,T
147,T
148,T
149,T
150,T
151,T
152,T
153,T
154,T
155,T
156,T
157,T
158,T
159,T
160,T
161,T
162,T
163,T
164,T
165,T
166,T
167,T
168,T
169,T
170,T
171,T
172,T
173,T
174,T
175,T
176,T
177,T
178,T
179,T
180,T
181,T
182,T
183,T
184,T
185,T
186,T
187,T
188,T
189,T
190,T
191,T
192,T
193,T
194,T
195,T
196,T
197,T
198,T
199,T
200,T
201,T
202,T
203,T
204,T
205,T
206,T
207,T
208,T
209,T
210,T
211,T
212,T
213,T
214,T
215,T
216,T
217,T
218,T
219,T
220,T
221,T
222,T
223,T
224,T
225,T
226,T
227,T
228,T
229,T
230,T
231,T
232,T
233,T
234,T
235,T
236,T
237,T
238,T
239,T
240,T
241,T
242,T
243,T
244,T
245,T
246,T
247,T
248,T
249,T
250,T
251,T
252,T
253,T
254,T
255,T
256,T
257,T
258,T
259,T
260,T
261,T
262,T
263,T
264,T
265,T
