,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,T
14,T
15,T
16,T
17,T
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,T
30,T
31,T
32,T
33,T
34,W
35,T
36,T
37,T
38,T
39,T
40,T
41,T
42,T
43,T
44,T
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,T
66,T
67,T
68,T
69,T
70,T
71,T
72,T
73,T
74,T
75,T
76,T
77,T
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,T
87,T
88,T
89,T
90,T
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,T
99,T
100,T
101,T
102,T
103,T
104,T
105,T
106,T
107,T
108,T
109,W
110,W
111,W
112,T
113,T
114,T
115,T
116,T
117,W
118,W
119,W
120,W
121,T
122,T
123,T
124,T
125,T
126,T
127,T
128,T
129,T
130,T
131,T
132,T
133,T
134,T
135,W
136,W
137,T
138,T
139,T
140,T
141,T
142,T
143,T
144,T
145,T
146,T
147,W
148,W
149,W
150,W
151,T
152,T
153,T
154,T
155,T
156,T
