,0
0,W
1,W
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,W
11,T
12,T
13,W
14,T
15,T
16,T
17,T
18,T
19,T
20,T
21,T
22,W
23,T
24,W
25,W
26,W
27,W
28,W
29,T
30,T
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,T
43,T
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,T
60,T
61,T
62,W
63,W
64,W
65,T
66,T
67,W
68,T
69,W
70,W
71,T
72,T
73,W
74,W
75,W
76,W
77,W
78,W
79,T
80,W
81,W
82,W
83,W
84,T
85,W
86,W
87,W
88,T
89,T
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,T
98,T
99,W
100,W
101,W
102,T
103,T
104,W
105,W
106,W
107,T
108,T
109,T
110,T
111,W
112,T
113,W
114,W
115,W
116,T
117,T
118,T
119,W
120,W
121,W
122,W
123,W
124,T
125,W
126,W
127,W
128,T
129,W
130,T
131,T
132,W
133,W
134,W
135,W
136,W
137,W
138,W
139,W
140,W
141,W
142,T
143,T
144,W
