,0
0,T
1,T
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,T
11,T
12,T
13,T
14,T
15,T
16,T
17,T
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,T
27,T
28,T
29,T
30,T
31,T
32,T
33,T
34,T
35,T
36,T
37,T
38,T
39,T
40,T
41,T
42,T
43,T
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,T
63,T
64,T
65,T
66,T
67,T
68,T
69,T
70,T
71,W
72,W
73,W
74,T
75,T
76,T
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,T
95,T
96,T
97,T
98,T
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,W
133,W
134,T
135,T
136,T
137,T
138,T
139,T
140,T
141,T
142,T
143,T
144,T
145,T
146,T
147,T
148,T
149,T
150,T
151,T
