,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,-1.24,0.96,4.10,5.25,5.19,10.69,9.61,-0.74,0.07,-0.27,-0.52,0.44,0.68,679966
1,-1.24,0.96,4.10,5.25,5.19,10.69,8.73,-1.55,-0.36,-0.27,-0.52,0.44,0.68,680005
2,-1.24,0.96,4.10,5.25,5.19,10.69,6.70,-1.97,-0.01,-0.27,-0.52,0.44,0.68,680043
3,-0.40,0.75,4.64,5.25,5.19,10.69,6.70,-1.97,-0.01,-0.27,-0.52,0.44,0.68,680082
4,-0.40,0.75,4.64,5.25,5.19,10.69,0.34,-4.38,-0.93,-0.27,-0.52,0.44,0.68,680121
5,-0.40,0.75,4.64,5.25,5.19,10.69,-1.27,-4.73,0.34,-0.27,-0.52,0.44,0.68,680162
6,-0.40,0.75,4.64,5.25,5.19,10.69,-2.00,-5.72,4.28,-0.27,-0.52,0.44,0.68,680200
7,0.38,0.74,2.49,5.25,5.19,10.69,-2.00,-5.72,4.28,-0.27,-0.52,0.44,0.68,680240
8,-0.38,1.02,1.86,5.25,5.19,10.69,-2.00,-5.72,4.28,-0.27,-0.52,0.44,0.68,680278
9,-0.38,1.02,1.86,5.25,5.19,10.69,-5.75,-6.49,2.98,-0.27,-0.52,0.44,0.68,680318
10,-0.38,1.02,1.86,5.25,5.19,10.69,-8.55,-6.87,2.14,-0.27,-0.52,0.44,0.68,680358
11,-0.38,1.02,1.86,5.25,5.19,10.69,-10.04,-6.56,1.33,-0.27,-0.52,0.44,0.68,680396
12,-0.03,-0.05,0.14,5.25,5.19,10.69,-10.04,-6.56,1.33,-0.27,-0.52,0.44,0.68,680436
13,-0.03,-0.05,0.14,5.25,5.19,10.69,-10.04,-5.72,1.87,-0.27,-0.52,0.44,0.68,680478
14,-0.05,-0.53,-2.10,5.25,5.19,10.69,-10.04,-5.72,1.87,-0.27,-0.52,0.44,0.68,680518
15,-0.05,-0.53,-2.10,5.25,5.19,10.69,-4.07,-6.68,3.40,-0.27,-0.52,0.44,0.68,680559
16,-0.05,-0.53,-2.10,5.25,5.19,10.69,-3.27,-6.75,2.52,-0.27,-0.52,0.44,0.68,680599
17,-0.03,-0.72,-2.58,5.25,5.19,10.69,-3.27,-6.75,2.52,-0.27,-0.52,0.44,0.68,680640
18,-0.51,-0.41,-2.72,5.25,5.19,10.69,-3.27,-6.75,2.52,-0.27,-0.52,0.44,0.68,680680
19,-0.51,-0.41,-2.72,5.25,5.19,10.69,1.18,-6.75,1.45,-0.27,-0.52,0.44,0.68,680720
20,-0.51,-0.41,-2.72,5.25,5.19,10.69,1.64,-6.33,2.67,-0.27,-0.52,0.44,0.68,680761
21,-0.51,-0.41,-2.72,5.25,5.19,10.69,3.02,-5.38,1.37,-0.27,-0.52,0.44,0.68,680799
22,-0.54,-0.96,-3.39,5.25,5.19,10.69,3.02,-5.38,1.37,-0.27,-0.52,0.44,0.68,680840
23,-0.54,-0.96,-3.39,5.25,5.19,10.69,6.85,-5.07,-0.93,-0.27,-0.52,0.44,0.68,680880
24,-0.54,-0.96,-3.39,5.25,5.19,10.69,8.73,-4.73,-0.85,-0.27,-0.52,0.44,0.68,680921
25,-0.54,-0.96,-3.39,5.25,5.19,10.69,9.11,-3.35,-0.51,-0.27,-0.52,0.44,0.68,680961
26,-0.54,-0.96,-3.39,5.25,5.19,10.69,11.33,-2.85,-1.16,-0.27,-0.52,0.44,0.68,680999
27,0.66,-1.35,-1.85,5.25,5.19,10.69,11.33,-2.85,-1.16,-0.27,-0.52,0.44,0.68,681041
28,0.96,-0.43,-1.02,5.25,5.19,10.69,11.33,-2.85,-1.16,-0.27,-0.52,0.44,0.68,681081
29,0.96,-0.43,-1.02,5.25,5.19,10.69,11.10,-0.82,0.91,-0.27,-0.52,0.44,0.68,681121
30,0.96,-0.43,-1.02,5.25,5.19,10.69,13.40,-0.89,0.03,-0.27,-0.52,0.44,0.68,681161
31,0.96,-0.43,-1.02,5.25,5.19,10.69,11.83,-0.82,0.99,-0.27,-0.52,0.44,0.68,681200
32,-0.05,-0.11,-1.25,5.25,5.19,10.69,11.83,-0.82,0.99,-0.27,-0.52,0.44,0.68,681240
33,0.04,0.19,-1.11,5.25,5.19,10.69,11.83,-0.82,0.99,-0.27,-0.52,0.44,0.68,681281
34,0.04,0.19,-1.11,5.25,5.19,10.69,13.97,-0.74,0.22,-0.27,-0.52,0.44,0.68,681320
35,0.04,0.19,-1.11,5.25,5.19,10.69,16.46,-0.13,0.14,-0.27,-0.52,0.44,0.68,681360
36,0.01,0.82,1.86,5.25,5.19,10.69,17.31,-0.05,0.87,-0.27,-0.52,0.44,0.68,681438
37,0.01,0.82,1.86,5.25,5.19,10.69,12.52,0.71,0.91,-0.27,-0.52,0.44,0.68,681478
38,-0.26,0.89,2.43,5.25,5.19,10.69,12.52,0.71,0.91,-0.27,-0.52,0.44,0.68,681518
39,-0.26,0.89,2.43,5.25,5.19,10.69,11.95,-0.59,0.53,-0.27,-0.52,0.44,0.68,681556
40,-0.26,0.89,2.43,5.25,5.19,10.69,9.80,-1.05,1.37,-0.27,-0.52,0.44,0.68,681594
41,-0.26,0.89,2.43,5.25,5.19,10.69,8.77,-1.77,0.87,-0.27,-0.52,0.44,0.68,681634
42,0.08,1.10,3.39,5.25,5.19,10.69,8.77,-1.77,0.87,-0.27,-0.52,0.44,0.68,681673
43,0.08,1.10,3.39,5.25,5.19,10.69,6.85,-3.38,1.64,-0.27,-0.52,0.44,0.68,681712
44,0.08,1.10,3.39,5.25,5.19,10.69,5.01,-3.69,2.29,-0.27,-0.52,0.44,0.68,681751
45,0.08,1.10,3.39,8.50,-1.75,13.13,5.01,-3.69,2.29,-0.27,-0.52,0.44,0.68,681789
46,0.28,0.79,3.72,8.50,-1.75,13.13,5.01,-3.69,2.29,-0.27,-0.52,0.44,0.68,681829
47,0.19,0.88,3.14,8.50,-1.75,13.13,5.01,-3.69,2.29,-0.27,-0.52,0.44,0.68,681867
48,0.19,0.88,3.14,8.50,-1.75,13.13,-2.80,-5.03,2.86,-0.27,-0.52,0.44,0.68,681906
49,0.19,0.88,3.14,8.50,-1.75,13.13,-3.72,-5.30,3.86,-0.27,-0.52,0.44,0.68,681945
50,-0.07,0.83,1.98,8.50,-1.75,13.13,-3.72,-5.30,3.86,-0.27,-0.52,0.44,0.68,681984
51,-0.20,0.75,1.62,8.50,-1.75,13.13,-3.72,-5.30,3.86,-0.27,-0.52,0.44,0.68,682023
52,-0.20,0.75,1.62,8.50,-1.75,13.13,-7.48,-6.56,3.82,-0.27,-0.52,0.44,0.68,682063
53,-0.20,0.75,1.62,8.50,-1.75,13.13,-9.51,-6.45,2.10,-0.27,-0.52,0.44,0.68,682102
54,-0.20,0.75,1.62,8.50,-1.75,13.13,-11.46,-5.72,0.26,-0.27,-0.52,0.44,0.68,682141
55,0.92,-0.31,-0.93,8.50,-1.75,13.13,-11.46,-5.72,0.26,-0.27,-0.52,0.44,0.68,682181
56,0.92,-0.31,-0.93,8.50,-1.75,13.13,-7.48,-5.26,4.93,-0.27,-0.52,0.44,0.68,682222
57,0.92,-0.31,-0.93,8.50,-1.75,13.13,-6.21,-5.88,4.74,-0.27,-0.52,0.44,0.68,682262
58,0.92,-0.31,-0.93,8.50,-1.75,13.13,-6.79,-5.38,2.02,-0.27,-0.52,0.44,0.68,682302
59,0.92,-0.31,-0.93,9.69,-7.25,14.69,-6.79,-5.38,2.02,-0.27,-0.52,0.44,0.68,682341
60,-0.11,-1.04,-2.94,9.69,-7.25,14.69,-6.79,-5.38,2.02,-0.27,-0.52,0.44,0.68,682381
61,-0.11,-1.04,-2.94,9.69,-7.25,14.69,-1.89,-5.76,3.67,-0.27,-0.52,0.44,0.68,682423
62,-0.11,-1.04,-2.94,9.69,-7.25,14.69,0.34,-5.14,2.02,-0.27,-0.52,0.44,0.68,682463
63,-0.11,-1.04,-2.94,9.69,-7.25,14.69,2.02,-4.92,2.29,-0.27,-0.52,0.44,0.68,682504
64,-0.11,-1.04,-2.94,9.69,-7.25,14.69,3.59,-4.99,3.02,-0.27,-0.52,0.44,0.68,682544
65,-0.68,-1.13,-3.65,9.69,-7.25,14.69,3.59,-4.99,3.02,-0.27,-0.52,0.44,0.68,682584
66,-0.01,-1.27,-3.43,9.69,-7.25,14.69,3.59,-4.99,3.02,-0.27,-0.52,0.44,0.68,682625
67,-0.01,-1.27,-3.43,9.69,-7.25,14.69,9.91,-4.19,0.07,-0.27,-0.52,0.44,0.68,682664
