,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,T
15,T
16,T
17,T
18,W
19,W
20,W
21,T
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,T
31,W
32,W
33,W
34,T
35,T
36,T
37,W
38,W
39,W
40,W
41,W
42,W
43,W
44,W
45,W
46,W
47,W
48,T
49,W
50,W
51,T
52,W
53,T
54,W
55,W
56,T
57,T
58,W
59,W
60,W
61,T
62,T
63,T
64,W
65,W
66,W
67,T
68,T
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,T
78,W
79,W
80,T
81,T
82,T
83,T
84,W
85,W
86,T
87,T
88,T
89,T
90,T
91,T
92,T
93,T
94,W
95,T
96,T
97,T
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,T
108,W
109,W
110,W
111,W
112,W
113,T
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,T
122,T
123,W
124,T
125,W
126,W
127,W
128,W
129,W
130,T
131,T
132,T
133,W
134,T
135,T
136,T
137,T
138,T
139,T
140,T
141,T
142,W
143,T
144,T
145,T
