,0
0,T
1,T
2,T
3,W
4,W
5,W
6,T
7,T
8,T
9,T
10,T
11,T
12,T
13,T
14,T
15,T
16,T
17,T
18,W
19,T
20,T
21,W
22,W
23,W
24,T
25,T
26,T
27,T
28,T
29,T
30,T
31,W
32,W
33,W
34,T
35,T
36,T
37,W
38,W
39,W
40,W
41,W
42,T
43,T
44,T
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,T
59,T
60,T
61,T
62,W
63,W
64,W
65,W
66,T
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,T
75,T
76,W
77,W
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,T
87,W
88,T
89,T
90,T
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,T
99,T
100,T
101,T
102,T
103,T
104,T
105,T
106,T
107,T
108,T
109,T
110,T
111,W
112,T
113,T
114,T
115,T
116,T
117,T
118,T
119,T
120,T
121,T
122,T
123,T
124,T
125,T
126,T
127,T
128,T
129,T
130,T
131,T
132,W
