,0
0,T
1,T
2,T
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,T
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,T
27,T
28,T
29,T
30,T
31,T
32,W
33,T
34,T
35,W
36,T
37,W
38,W
39,T
40,W
41,T
42,T
43,T
44,T
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,T
56,W
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,T
88,T
89,T
90,T
91,T
92,W
93,W
94,W
95,W
96,T
97,T
98,T
99,T
100,T
101,W
102,W
103,T
104,T
105,T
106,T
107,T
108,T
109,T
110,T
111,T
112,T
113,W
114,W
115,W
116,W
117,W
118,W
119,T
120,W
121,T
122,T
123,T
124,W
125,T
126,T
127,T
128,T
129,W
130,W
131,W
132,W
133,W
134,W
135,W
136,W
137,W
138,W
139,W
140,W
141,W
142,W
143,T
144,W
