,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,W
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,W
63,W
64,W
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,W
133,W
134,W
135,W
136,W
137,W
138,W
139,W
140,W
141,W
142,W
143,W
144,W
145,W
146,W
147,W
148,W
149,W
150,W
151,W
152,W
153,W
154,W
155,W
156,W
157,W
158,W
159,W
160,W
161,W
162,W
163,W
164,W
165,W
166,W
167,T
168,W
169,W
170,W
171,W
172,W
173,W
174,W
175,W
176,W
177,W
178,W
179,W
180,W
181,W
182,W
183,W
184,W
185,W
186,W
187,W
188,W
189,W
190,W
191,W
192,W
193,W
194,W
195,W
196,W
197,W
198,W
199,W
200,W
201,W
202,W
203,W
204,W
205,W
206,W
207,W
208,W
209,W
210,W
211,W
212,W
213,W
214,W
215,W
216,W
217,W
218,W
219,W
220,W
221,W
222,W
223,W
224,W
225,W
226,W
227,W
228,W
229,W
230,W
231,W
232,W
233,W
234,W
235,W
236,W
237,W
238,W
239,W
240,W
241,W
242,W
243,W
244,W
245,W
246,W
247,W
248,W
249,W
250,W
251,W
252,W
253,W
254,W
255,W
256,W
257,W
258,W
259,W
260,W
261,W
262,W
263,W
264,W
265,W
266,W
267,W
268,W
269,W
270,W
271,W
272,W
273,W
274,W
275,W
276,W
277,W
278,W
279,W
280,W
281,W
282,W
283,W
284,W
285,W
286,W
287,W
288,W
289,W
290,W
291,W
292,W
293,W
294,W
295,W
296,W
297,W
298,W
299,W
300,W
301,W
302,W
303,W
304,W
305,W
306,W
307,W
308,W
309,W
310,W
311,W
312,W
313,W
314,W
315,W
316,W
317,W
318,W
319,W
320,W
321,W
322,W
323,W
324,W
325,W
326,W
327,W
328,W
329,W
330,W
331,W
332,W
333,W
334,W
335,W
336,W
337,W
338,W
339,W
340,W
341,W
342,W
343,W
344,W
345,W
346,W
347,W
348,W
349,W
350,W
351,W
352,W
353,W
354,W
355,W
356,W
357,W
358,W
359,W
360,W
361,W
362,W
363,W
364,W
365,W
366,W
367,W
368,W
369,W
370,W
371,W
372,W
373,W
374,W
375,W
376,W
377,W
378,W
379,W
380,W
381,W
382,W
383,W
384,W
385,W
386,W
387,W
388,W
389,W
390,W
391,W
392,W
393,W
394,W
395,W
396,W
397,W
398,W
399,W
400,W
401,W
402,W
403,W
404,W
405,W
406,W
407,W
408,W
409,W
410,W
411,W
412,W
413,W
414,W
415,W
416,W
417,W
418,W
419,W
420,W
421,W
422,W
423,W
424,W
425,W
426,W
427,W
428,W
429,W
430,W
431,W
432,W
433,W
434,W
435,W
436,W
437,W
438,T
439,T
440,T
441,T
442,W
443,W
444,W
445,W
446,W
447,W
448,W
449,W
450,W
451,W
452,W
453,W
454,W
455,W
456,W
457,W
458,W
459,W
460,W
461,W
462,W
463,W
464,W
465,W
466,W
467,W
468,T
469,T
470,T
471,T
472,T
473,T
474,T
475,T
476,T
477,T
478,T
479,T
480,T
481,T
482,T
483,T
484,T
485,T
486,T
487,T
488,T
489,T
490,T
491,T
492,T
493,T
494,T
495,T
496,T
497,T
498,T
499,T
500,T
501,T
502,T
503,T
504,T
505,T
506,T
507,T
508,T
509,T
510,T
511,T
512,T
513,T
514,T
515,T
516,T
517,T
518,T
519,T
520,T
521,T
522,T
523,T
524,T
525,T
526,T
527,T
528,T
529,T
530,T
531,T
532,T
533,T
534,T
535,T
536,T
537,T
538,T
539,T
540,T
541,T
542,T
543,T
544,T
545,T
546,T
547,T
548,T
549,T
550,T
551,T
552,T
553,T
554,T
555,T
556,T
557,T
558,T
559,T
560,T
561,T
562,T
563,T
564,T
565,T
566,T
567,T
568,T
569,T
570,T
571,T
572,T
573,T
574,T
575,T
576,T
577,T
578,T
579,T
580,T
581,T
582,T
583,T
584,T
585,T
586,T
587,T
588,T
589,T
590,W
591,T
592,W
593,W
594,W
595,W
596,W
597,W
598,W
599,W
600,W
601,W
602,W
603,W
604,W
605,W
606,W
607,W
608,W
609,W
610,W
611,W
612,W
613,W
614,W
615,W
616,W
617,W
618,W
619,W
620,W
621,W
622,W
623,W
624,W
625,W
626,W
627,W
628,W
629,W
630,T
631,T
632,W
633,W
634,W
635,W
636,W
637,W
638,W
639,W
640,W
641,W
642,W
643,W
644,W
645,W
646,W
647,W
648,W
649,W
650,W
651,W
652,W
653,W
654,W
655,W
656,W
657,W
658,W
659,W
660,W
661,W
662,W
663,W
664,W
665,W
666,W
667,W
668,W
669,W
670,W
671,W
672,T
673,T
674,T
675,T
676,T
677,T
678,T
679,T
680,T
681,T
682,T
683,T
684,T
685,W
686,T
687,T
688,T
689,T
690,T
691,T
692,T
693,W
694,W
695,W
696,W
697,W
698,W
699,T
700,T
701,W
702,W
703,W
704,W
705,W
706,W
707,W
708,W
709,W
710,W
711,W
712,W
713,W
714,W
715,W
716,W
717,W
718,W
719,W
720,W
721,W
722,W
723,W
724,W
725,W
726,T
727,T
728,T
729,T
730,T
731,T
732,T
733,T
734,T
735,T
736,T
737,T
738,T
739,T
740,T
741,T
742,T
743,T
744,T
745,T
746,T
747,T
748,T
749,T
750,T
751,T
752,T
753,T
754,T
755,T
756,T
757,T
758,T
759,T
760,T
761,T
762,T
763,T
764,T
765,T
766,T
767,T
768,T
769,T
770,T
771,T
772,T
773,T
774,T
775,T
776,T
777,T
778,T
779,T
780,T
781,T
782,T
783,T
784,T
785,T
786,T
787,T
788,T
789,T
790,T
791,T
792,T
793,T
794,T
795,T
796,T
797,T
798,T
799,T
800,T
801,T
802,T
803,T
804,T
805,T
806,T
807,T
808,T
809,T
810,T
811,T
812,T
813,T
814,T
815,T
816,T
817,T
818,T
819,T
820,T
821,T
822,T
823,T
824,T
825,T
826,T
827,T
828,T
829,T
830,T
831,T
832,T
833,T
834,T
835,T
836,T
837,T
838,T
839,T
840,T
841,T
842,T
843,T
844,T
845,T
846,T
847,T
848,T
849,T
850,T
851,T
852,T
853,T
854,T
855,T
856,T
857,T
858,T
859,T
860,T
861,T
862,T
863,T
864,T
865,T
866,T
867,T
868,T
869,T
