,0
0,T
1,T
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,T
11,T
12,T
13,T
14,T
15,T
16,T
17,T
18,W
19,W
20,W
21,W
22,W
23,T
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,T
32,T
33,T
34,T
35,T
36,T
37,T
38,T
39,T
40,T
41,T
42,T
43,T
44,T
45,T
46,T
47,T
48,W
49,T
50,T
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,W
63,W
64,W
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,W
