,0
0,T
1,T
2,W
3,W
4,T
5,T
6,W
7,W
8,W
9,W
10,W
11,W
12,T
13,T
14,W
15,W
16,W
17,W
18,T
19,T
20,T
21,W
22,T
23,T
24,W
25,T
26,W
27,W
28,T
29,T
30,W
31,W
32,W
33,W
34,W
35,T
36,T
37,W
38,T
39,T
40,T
41,T
42,W
43,T
44,W
45,T
46,T
47,T
48,W
49,T
50,W
51,W
52,T
53,W
54,W
55,T
56,W
57,W
58,W
59,W
60,W
61,W
62,T
63,T
64,T
65,T
66,T
67,T
68,T
69,T
70,W
71,T
72,T
73,T
74,W
75,W
76,T
77,T
78,T
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,T
90,W
91,T
92,T
93,W
94,W
95,W
96,W
97,W
98,W
99,T
100,T
101,W
102,W
103,T
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,T
118,T
119,W
120,T
121,T
122,T
123,T
124,T
125,T
126,W
127,W
128,T
129,W
130,W
131,W
132,T
133,W
134,W
135,W
136,W
137,T
138,T
139,W
140,W
141,T
142,W
143,W
144,W
