,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time
0,0.01,-0.01,0.00,8.94,-3.13,9.38,-9.31,2.55,0.95,-0.08,0.67,0.25,0.69,373320
1,-0.00,-0.00,0.01,8.94,-3.13,9.38,-9.31,2.55,0.95,-0.08,0.67,0.25,0.69,373359
2,0.00,0.00,-0.00,8.94,-3.13,9.38,-9.31,2.55,0.95,-0.08,0.67,0.25,0.69,373397
3,0.00,0.00,-0.00,8.94,-3.13,9.38,-9.35,2.55,0.95,-0.08,0.67,0.25,0.69,373436
4,0.00,0.00,-0.00,8.94,-3.13,9.38,-9.35,2.59,0.95,-0.08,0.67,0.25,0.69,373473
5,0.00,-0.00,-0.00,8.94,-3.13,9.38,-9.35,2.59,0.95,-0.08,0.67,0.25,0.69,373513
6,0.00,-0.00,0.00,8.94,-3.13,9.38,-9.35,2.59,0.95,-0.08,0.67,0.25,0.69,373552
7,0.00,-0.00,0.00,8.94,-3.13,9.38,-9.31,2.59,0.99,-0.08,0.67,0.25,0.69,373590
8,0.00,-0.00,0.00,8.94,-3.13,9.38,-9.31,2.55,0.99,-0.08,0.67,0.25,0.69,373628
9,0.00,-0.00,0.00,8.06,-2.19,9.56,-9.31,2.55,0.99,-0.08,0.67,0.25,0.69,373666
10,-0.00,0.00,0.00,8.06,-2.19,9.56,-9.31,2.55,0.99,-0.08,0.67,0.25,0.69,373705
11,0.00,-0.00,0.00,8.06,-2.19,9.56,-9.31,2.55,0.99,-0.08,0.67,0.25,0.69,373744
12,0.00,-0.00,0.00,8.06,-2.19,9.56,-9.35,2.59,0.99,-0.08,0.67,0.25,0.69,373783
13,0.00,-0.00,0.00,8.06,-2.19,9.56,-9.35,2.59,0.99,-0.08,0.67,0.25,0.69,373820
14,0.00,-0.00,0.00,8.06,-2.19,9.56,-9.35,2.55,0.95,-0.08,0.67,0.25,0.69,373859
15,-0.00,0.01,-0.00,8.06,-2.19,9.56,-9.35,2.55,0.95,-0.08,0.67,0.25,0.69,373898
16,-0.00,0.01,-0.00,8.06,-2.19,9.56,-9.31,2.59,0.99,-0.08,0.67,0.25,0.69,373937
17,-0.00,0.01,-0.00,8.06,-2.19,9.56,-9.27,2.55,0.99,-0.08,0.67,0.25,0.69,373974
18,-0.01,0.08,-0.04,8.06,-2.19,9.56,-9.27,2.55,0.99,-0.08,0.67,0.25,0.69,374014
19,0.03,0.04,-0.07,8.06,-2.19,9.56,-9.27,2.55,0.99,-0.08,0.67,0.25,0.69,374053
20,0.03,0.04,-0.07,8.06,-2.19,9.56,-9.35,2.52,0.92,-0.08,0.67,0.25,0.69,374091
21,0.03,0.04,-0.07,8.06,-2.19,9.56,-9.35,2.52,0.80,-0.08,0.67,0.25,0.69,374130
22,0.03,0.04,-0.07,8.06,-2.19,9.56,-9.35,2.48,0.84,-0.08,0.67,0.25,0.69,374167
23,0.03,0.04,-0.07,8.06,-2.19,9.56,-9.43,2.25,0.69,-0.08,0.67,0.25,0.69,374206
24,-0.05,-0.03,0.05,8.06,-2.19,9.56,-9.43,2.25,0.69,-0.08,0.67,0.25,0.69,374245
