,0
0,T
1,T
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,T
11,W
12,W
13,W
14,W
15,T
16,T
17,T
18,T
19,T
20,T
21,T
22,T
23,T
24,T
25,T
26,T
27,T
28,T
29,T
30,T
31,T
32,T
33,T
34,T
35,T
36,T
37,T
38,T
39,W
40,W
41,W
42,W
43,T
44,T
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,T
66,T
67,T
68,T
69,T
70,T
71,T
72,T
73,T
74,T
75,T
76,T
77,T
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,W
87,W
88,W
89,W
90,T
91,T
92,T
93,T
94,T
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,T
109,W
110,W
111,W
112,W
113,W
114,W
115,T
116,T
117,T
118,T
119,T
120,W
121,T
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,T
132,W
133,W
134,W
135,T
136,T
137,W
138,W
139,W
140,W
