,0
0,T
1,T
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,W
10,T
11,T
12,T
13,T
14,T
15,T
16,T
17,T
18,T
19,W
20,W
21,T
22,W
23,W
24,W
25,W
26,T
27,T
28,T
29,T
30,T
31,T
32,T
33,W
34,T
35,T
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,T
44,T
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,T
66,T
67,T
68,T
69,T
70,T
71,T
72,W
73,W
74,T
75,T
76,T
77,T
78,W
79,W
80,T
81,T
82,T
83,T
84,T
85,T
86,W
87,W
88,W
89,W
90,W
91,W
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,W
133,W
134,W
135,W
136,W
137,W
