,0
0,W
1,W
2,T
3,W
4,W
5,W
6,W
7,T
8,T
9,W
10,T
11,T
12,T
13,T
14,T
15,T
16,T
17,T
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,T
36,T
37,T
38,W
39,W
40,W
41,T
42,T
43,T
44,T
45,T
46,T
47,W
48,T
49,W
50,W
51,W
52,W
53,W
54,T
55,W
56,W
57,T
58,W
59,T
60,T
61,T
62,T
63,W
64,W
65,W
66,W
67,W
68,W
69,W
70,T
71,T
72,W
73,T
74,T
75,W
76,T
77,T
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,T
87,W
88,W
89,T
90,T
91,W
92,W
93,W
94,T
95,T
96,T
97,W
98,T
99,T
100,T
101,W
102,W
103,W
104,W
105,W
106,W
107,W
108,T
109,W
110,W
111,W
112,W
113,W
114,W
115,T
116,W
117,W
118,W
119,W
120,T
121,T
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,W
133,T
134,W
135,T
136,W
137,W
138,W
139,W
140,W
141,W
142,W
143,W
