,0
0,W
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,T
41,W
42,T
43,T
44,T
45,T
46,W
47,W
48,T
49,W
50,W
51,W
52,T
53,T
54,T
55,W
56,W
57,W
58,W
59,T
60,T
61,W
62,W
63,W
64,W
65,W
66,W
67,W
68,W
69,W
70,W
71,T
72,T
73,T
74,T
75,T
76,W
77,W
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,T
86,T
87,T
88,T
89,T
90,T
91,T
92,T
93,W
94,W
95,T
96,T
97,T
98,T
99,T
100,T
101,W
102,T
103,T
104,T
105,T
106,T
107,T
108,T
109,W
110,T
111,W
112,W
113,W
114,W
115,W
116,W
117,W
118,T
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,T
127,W
128,T
129,T
130,W
131,T
132,W
133,W
134,T
135,T
136,W
137,W
138,T
139,W
140,W
141,W
142,W
143,W
