,0
0,T
1,T
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,T
11,T
12,T
13,T
14,T
15,T
16,T
17,T
18,T
19,T
20,T
21,T
22,T
23,T
24,T
25,T
26,T
27,T
28,T
29,T
30,T
31,T
32,T
33,T
34,T
35,T
36,T
37,T
38,T
39,T
40,T
41,T
42,T
43,T
44,T
45,T
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,W
63,W
64,T
65,T
66,T
67,T
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,T
77,T
78,T
79,T
80,T
81,T
82,T
83,T
84,T
85,W
86,W
87,W
88,W
89,W
90,W
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,T
99,T
100,W
101,W
102,W
103,W
104,W
105,W
106,W
107,T
108,T
109,T
110,T
111,T
112,T
113,T
114,T
115,T
116,T
117,W
118,W
119,W
120,T
121,T
122,T
123,T
124,T
125,T
126,T
127,T
128,T
129,T
130,T
131,T
132,T
133,T
134,T
135,T
136,T
137,T
138,T
139,T
140,T
141,T
142,T
143,T
144,T
145,T
146,T
147,T
148,T
149,T
150,T
151,T
152,T
153,T
154,T
155,T
156,T
157,T
158,T
