,0
0,W
1,W
2,T
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,T
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,T
29,T
30,T
31,T
32,T
33,T
34,T
35,W
36,W
37,T
38,W
39,W
40,W
41,W
42,W
43,T
44,T
45,W
46,T
47,T
48,T
49,T
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,W
63,W
64,W
65,T
66,T
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,T
80,W
81,T
82,W
83,T
84,T
85,W
86,T
87,W
88,T
89,T
90,W
91,T
92,W
93,W
94,W
95,W
96,W
97,W
98,W
99,W
100,W
101,W
102,W
103,W
104,W
105,T
106,W
107,W
108,T
109,T
110,W
111,T
112,W
113,T
114,W
115,W
116,T
117,T
118,T
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,T
128,W
129,W
130,T
131,T
132,T
133,T
134,W
135,T
136,W
137,W
138,T
139,W
140,W
141,W
142,W
