,0
0,T
1,T
2,T
3,T
4,T
5,T
6,T
7,T
8,T
9,T
10,T
11,T
12,T
13,T
14,T
15,T
16,T
17,T
18,T
19,T
20,T
21,T
22,T
23,T
24,T
25,T
26,T
27,T
28,T
29,T
30,T
31,T
32,T
33,T
34,T
35,T
36,T
37,T
38,T
39,T
40,T
41,T
42,T
43,T
44,T
45,T
46,T
47,T
48,T
49,T
50,T
51,T
52,T
53,T
54,T
55,T
56,T
57,T
58,T
59,T
60,T
61,T
62,T
63,T
64,T
65,T
66,T
67,T
68,W
69,W
70,W
71,T
72,T
73,T
74,T
75,W
76,T
77,T
78,T
79,T
80,T
81,T
82,W
83,T
84,T
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,T
93,T
94,T
95,T
96,T
97,T
98,T
99,T
100,T
101,T
102,T
103,T
104,T
105,T
106,T
107,T
108,T
109,T
110,T
111,T
112,T
113,T
114,T
115,T
116,T
117,T
118,T
119,T
120,T
121,T
122,T
123,T
124,T
125,T
126,T
127,T
128,T
129,T
130,T
131,T
132,T
133,T
134,T
135,T
136,T
137,T
138,T
139,T
140,T
141,T
142,T
143,T
144,T
145,T
146,T
147,T
148,T
149,T
150,T
151,T
152,T
153,T
154,T
155,T
156,T
157,T
158,T
159,T
160,T
161,T
162,T
163,T
164,T
165,W
166,T
167,T
168,T
169,T
170,T
171,T
172,T
173,W
174,W
175,W
176,W
177,W
178,W
179,W
180,W
181,W
182,W
183,T
184,T
185,T
186,W
187,T
188,T
189,T
190,T
191,T
192,T
193,T
194,T
195,T
196,T
197,W
198,W
199,W
200,T
201,T
202,T
203,T
204,T
205,T
206,T
207,T
208,T
209,T
210,W
211,W
212,W
213,W
214,W
215,W
216,W
217,W
218,W
219,W
220,W
221,W
222,W
223,T
224,T
225,T
226,W
227,W
228,W
229,W
230,W
231,W
232,W
233,W
234,W
235,W
236,W
237,T
238,T
239,T
240,T
241,T
242,T
243,W
244,W
245,W
246,W
247,W
248,W
249,W
250,T
251,T
252,T
253,T
254,T
255,W
256,W
257,W
258,W
259,W
260,W
261,W
262,W
263,W
264,W
265,T
