,0
0,W
1,T
2,W
3,T
4,T
5,W
6,W
7,W
8,W
9,T
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,T
22,W
23,W
24,T
25,W
26,W
27,T
28,T
29,T
30,T
31,T
32,T
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,W
44,W
45,W
46,W
47,T
48,W
49,W
50,T
51,T
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,T
61,W
62,W
63,W
64,W
65,T
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,W
80,T
81,W
82,W
83,W
84,W
85,W
86,W
87,W
88,W
89,W
90,W
91,W
92,T
93,T
94,T
95,W
96,W
97,W
98,W
99,T
100,W
101,W
102,T
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,T
113,T
114,W
115,W
116,W
117,T
118,W
119,W
120,W
121,W
122,W
123,W
124,W
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,W
133,W
134,W
135,W
136,W
137,W
138,T
139,T
140,W
141,W
142,W
143,W
144,W
