,0
0,W
1,W
2,T
3,T
4,W
5,W
6,T
7,T
8,T
9,T
10,T
11,T
12,T
13,T
14,W
15,T
16,W
17,T
18,T
19,T
20,W
21,T
22,T
23,W
24,T
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,T
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,T
44,T
45,T
46,W
47,T
48,T
49,W
50,T
51,T
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,T
63,T
64,T
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,T
73,T
74,T
75,W
76,T
77,W
78,W
79,W
80,W
81,W
82,W
83,W
84,W
85,W
86,T
87,T
88,W
89,W
90,T
91,T
92,T
93,T
94,T
95,T
96,T
97,T
98,T
99,W
100,W
101,W
102,T
103,W
104,W
105,W
106,W
107,W
108,W
109,W
110,W
111,W
112,W
113,W
114,W
115,W
116,W
117,T
118,T
119,T
120,T
121,W
122,T
123,W
124,T
125,W
126,W
127,W
128,W
129,W
130,W
131,W
132,T
133,T
134,T
135,T
136,T
137,W
138,W
139,W
140,W
141,W
